titulo_original;anio;duracion;pais;direccion;guion;reparto;genero;sinopsis;url_imagen;puntuacion;votos;url;imdb_url;imdb_puntuacion;imdb_votos;presupuesto_millones;recaudacion_domestica_millones;recaudacion_mundial_millones;estreno_millones;roi;exito_comercial;porcentaje_domestico;multiplicador_taquilla;puntuacion_imdb_num;diferencia_puntuaciones;puntuacion_promedio;es_usa;genero_principal;duracion_minutos
The Shining;1980;146 min.;Reino Unido;Stanley Kubrick;Stanley Kubrick, Diane Johnson, Stephen King;Jack Nicholson, Shelley Duvall, Danny Lloyd, Scatman Crothers, Barry Nelson, Philip Stone, Joe Turkel, Lia Beldam, Billie Gibson, Barry Dennen, David Baxt, Manning Redwood, Lisa Burns;Terror;Jack Torrance se traslada con su mujer y su hijo de siete años al impresionante hotel Overlook, en Colorado, para encargarse del mantenimiento de las instalaciones durante la temporada invernal, época en la que permanece cerrado y aislado por la nieve. Su objetivo es encontrar paz y sosiego para escribir una novela. Sin embargo, poco después de su llegada al hotel, al mismo tiempo que Jack empieza a padecer inquietantes trastornos de personalidad, se suceden extraños y espeluznantes fenómenos paranormales. (FILMAFFINITY);https://pics.filmaffinity.com/the_shining-453129380-large.jpg;8.2;150716;https://www.filmaffinity.com/es/film598422.html;https://www.imdb.com/title/tt0081505/?ref_=fn_ttl_ttl_1;8.4;1200000.0;19.0;45.63;47.96;0.62;2.5242105263157897;1.0;95.14178482068391;77.35483870967742;8.4;0.20000000000000107;8.3;0;Terror;146.0
Star Wars. Episode V: The Empire Strikes Back;1980;124 min.;Estados Unidos;Irvin Kershner;Leigh Brackett, Lawrence Kasdan, George Lucas;Mark Hamill, Harrison Ford, Carrie Fisher, Frank Oz, Billy Dee Williams, David Prowse, Alec Guinness, Anthony Daniels, Kenny Baker, Peter Mayhew, Jeremy Bulloch, Kenneth Colley, Bruce Boa;Ciencia ficción;Tras un ataque sorpresa de las tropas imperiales a las bases camufladas de la alianza rebelde, Luke Skywalker, en compañía de R2D2, parte hacia el planeta Dagobah en busca de Yoda, el último maestro Jedi, para que le enseñe los secretos de la Fuerza. Mientras, Han Solo, la princesa Leia, Chewbacca, y C3PO esquivan a las fuerzas imperiales y piden refugio al antiguo propietario del Halcón Milenario, Lando Calrissian, en la ciudad minera de Bespin, donde les prepara una trampa urdida por Darth Vader. (FILMAFFINITY);https://pics.filmaffinity.com/star_wars_episode_v_the_empire_strikes_back-701818523-large.jpg;8.1;138258;https://www.filmaffinity.com/es/film605090.html;https://www.imdb.com/title/tt0080684/?ref_=fn_ttl_ttl_1;8.7;1400000.0;18.0;292.75;550.02;4.91;30.556666666666665;1.0;53.225337260463256;112.020366598778;8.7;0.5999999999999996;8.399999999999999;1;Ciencia ficción;124.0
Airplane!;1980;88 min.;Estados Unidos;Jim Abrahams, David Zucker, Jerry Zucker;Jim Abrahams, David Zucker, Jerry Zucker;Robert Hays, Julie Hagerty, Leslie Nielsen, Lloyd Bridges, Peter Graves, Robert Stack, Lorna Patterson, Kareem Abdul-Jabbar, Stephen Stucker, Lee Bryant, Ann Nelson, Barbara Billingsley, Joyce Bulifant;Comedia;El vuelo 209 de la Trans American sale de Los Ángeles con destino a Chicago. Entre el pasaje se encuentran una serie de curiosos personajes. Entre ellos, un ex-piloto de combate que, en pleno vuelo, se verá obligado a hacerse con el mando del avión comercial, tras quedar los pilotos indispuestos por una comida en mal estado. (FILMAFFINITY);https://pics.filmaffinity.com/airplane-343976645-large.jpg;6.4;90194;https://www.filmaffinity.com/es/film445878.html;https://www.imdb.com/title/tt0080339/?ref_=fn_ttl_ttl_1;7.7;274000.0;3.5;83.45;83.46;;23.845714285714283;1.0;99.98801821231729;;7.7;1.2999999999999998;7.050000000000001;1;Comedia;88.0
Raging Bull;1980;124 min.;Estados Unidos;Martin Scorsese;Paul Schrader, Mardik Martin, Jake LaMotta;Robert De Niro, Cathy Moriarty, Joe Pesci, Frank Vincent, Nicholas Colasanto, Theresa Saldana, Mario Gallo, John Turturro, Frank Adonis, Martin Scorsese;Drama;"Jake la Motta es un joven boxeador que se entrena duramente con la ayuda de su hermano y mánager Joey. Su sueño es convertirse en el campeón de los pesos medios. Pero Jake es un paranoico muy violento que descarga su agresividad tanto dentro como fuera del ring. Incluso su hermano es víctima de su enfermizo carácter. Cuando, por fin, alcanza el éxito, su vida se convierte en una pesadilla. Por un lado, su matrimonio marcha cada vez peor debido a sus contantes salidas nocturnas con otras mujeres; por otro, la mafia lo presiona para que amañe combates. (FILMAFFINITY)";https://pics.filmaffinity.com/raging_bull-820857019-large.jpg;8.1;55816;https://www.filmaffinity.com/es/film789039.html;https://www.imdb.com/title/tt0081398/?ref_=fn_ttl_ttl_1;8.1;396000.0;18.0;23.38;23.41;0.13;1.3005555555555555;0.0;99.8718496369073;180.07692307692307;8.1;0.0;8.1;1;Drama;124.0
The Elephant Man;1980;125 min.;Estados Unidos;David Lynch;David Lynch, Eric Bergren, Christopher De Vore, Joseph Merrick;John Hurt, Anthony Hopkins, Anne Bancroft, John Gielgud, Wendy Hiller, Freddie Jones, Dexter Fletcher, Kenny Baker;Drama;A finales del siglo XIX, el doctor Frederick Treves descubre en un circo a un hombre llamado John Merrick. Se trata de un ciudadano británico con la cabeza monstruosamente deformada, que vive en una situación de constante humillación y sufrimiento al ser exhibido diariamente como una atracción de feria. (FILMAFFINITY);https://pics.filmaffinity.com/the_elephant_man-250132787-large.jpg;8.1;44847;https://www.filmaffinity.com/es/film418539.html;https://www.imdb.com/title/tt0080678/?ref_=fn_ttl_ttl_1;8.2;273000.0;5.0;26.01;26.03;;5.206;1.0;99.92316557817902;;8.2;0.09999999999999964;8.149999999999999;1;Drama;125.0
Friday the 13th;1980;95 min.;Estados Unidos;Sean S. Cunningham;Victor Miller, Sean S. Cunningham, Ron Kurz, Victor Miller;Betsy Palmer, Adrienne King, Harry Crosby, Laurie Bartram, Kevin Bacon, Robbi Morgan, Mark Nelson, Tom Savini;Terror;Varios jóvenes pasan sus vacaciones en un campamento de verano, reabierto recientemente, y en el que unos años antes murió un joven ahogado en el lago. En poco tiempo, algunos de ellos son encontrados sin vida. (FILMAFFINITY);https://pics.filmaffinity.com/friday_the_13th-652224175-large.jpg;5.8;36584;https://www.filmaffinity.com/es/film265349.html;https://www.imdb.com/title/tt0080761/?ref_=fn_ttl_ttl_1;6.4;167000.0;0.55;39.75;39.92;5.82;72.58181818181818;1.0;99.57414829659318;6.859106529209622;6.4;0.6000000000000005;6.1;1;Terror;95.0
The Blues Brothers;1980;132 min.;Estados Unidos;John Landis;John Landis, Dan Aykroyd;"Dan Aykroyd, John Belushi, Henry Gibson, Carrie Fisher, James Brown, Kathleen Freeman, John Candy, Aretha Franklin, Ray Charles, Charles Napier, Cab Calloway, Steve Cropper, Donald ""Duck"" Dunn";Comedia;Tras pasar años en la cárcel por robo a mano armada, Jake Blues es puesto en libertad por buen comportamiento. Sale de prisión vestido de la misma forma en la que entró: traje y sombrero negro y gafas oscuras. Vestido de idéntica manera, lo espera en la puerta de la prisión su hermano Elwood, que lo informa de que el orfanato de Santa Elena, el único hogar que conocieron, corre el peligro de desaparecer por razones económicas. Sin dudarlo ni un momento los hermanos se ponen manos a la obra. (FILMAFFINITY);https://pics.filmaffinity.com/the_blues_brothers-448368779-large.jpg;7.2;35954;https://www.filmaffinity.com/es/film148222.html;https://www.imdb.com/title/tt0080455/?ref_=fn_ttl_ttl_1;7.9;222000.0;27.5;57.23;115.23;4.86;4.190181818181818;1.0;49.665885620064216;23.709876543209877;7.9;0.7000000000000002;7.550000000000001;1;Comedia;132.0
The Blue Lagoon;1980;101 min.;Estados Unidos;Randal Kleiser;Douglas Day Stewart, Henry De Vere Stacpoole;Brooke Shields, Christopher Atkins, Leo McKern, William Daniels, Elva Josephson, Glenn Kohan;Aventuras;Dos niños, Emmeline y Richard, y el cocinero de un barco, únicos supervivientes de un naufragio, son arrastrados por el mar hasta una isla desierta. Poco después, el cocinero muere y los niños tienen que arreglárselas solos. Con el paso del tiempo, Emmeline (Brooke Shields) y Richard (Christopher Atkins) crecen y sus cuerpos empiezan a experimentar los cambios propios de la adolescencia, lo que despierta en ellos una curiosidad que les lleva, inocentemente, a practicar sus primeros acercamientos sexuales. (FILMAFFINITY);https://pics.filmaffinity.com/the_blue_lagoon-177384327-large.jpg;5.4;35636;https://www.filmaffinity.com/es/film716465.html;https://www.imdb.com/title/tt0080453/?ref_=fn_ttl_ttl_1;5.8;80000.0;4.5;58.85;58.85;;13.077777777777778;1.0;100.0;;5.8;0.39999999999999947;5.6;1;Aventuras;101.0
The Changeling;1980;109 min.;Canadá;Peter Medak;William Gray, Diana Maddox, Russell Hunter;George C. Scott, Trish Van Devere, Melvyn Douglas, John Colicos, Jean Marsh, Barry Morse, Madeleine Thornton-Sherwood, Helen Burns, Ruth Springford, Frances Hyland;Terror;John (George C. Scott) es un famoso compositor que acaba de perder a su familia de manera trágica y trata de superarlo marchándose a vivir desde Nueva York a una casa apacible y solitaria en Seattle. Sin embargo, al poco de tiempo de instalarse empiezan a suceder cosas extrañas... Hasta que un día descubre una habitación secreta ubicada al final de la escalera. (FILMAFFINITY);https://pics.filmaffinity.com/the_changeling-909276203-large.jpg;7.2;28802;https://www.filmaffinity.com/es/film235143.html;https://www.imdb.com/title/tt0080516/?ref_=fn_ttl_ttl_1;7.1;43000.0;7.6;;0.0;;0.0;0.0;;;7.1;0.10000000000000053;7.15;0;Terror;109.0
Fame;1980;130 min.;Estados Unidos;Alan Parker;Christopher Gore;Irene Cara, Lee Curreri, Laura Dean, Antonia Franceschi, Paul McCrane, Barry Miller, Gene Anthony Ray, Maureen Teefy, Meg Tilly;Musical;Un grupo de jóvenes músicos y bailarines se prepara en una academia de Nueva York para poder triunfar algún día en el mundo del espectáculo. Tuvo un gran éxito de taquilla, lo que dio origen a una famosa serie de TV. (FILMAFFINITY);https://pics.filmaffinity.com/fame-983503115-large.jpg;6.3;19966;https://www.filmaffinity.com/es/film590855.html;https://www.imdb.com/title/tt0080716/?ref_=fn_ttl_ttl_1;6.6;26000.0;;21.2;21.2;0.12;;;100.0;176.66666666666666;6.6;0.2999999999999998;6.449999999999999;1;Musical;130.0
